code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb_x,mktcap,nmc,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb_y,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
601998 ,中信银行,-0.784,6.33,6.38,6.4,6.32,6.38,61880443.0,0.19395,393416559.0,7.536,0.796,30975726.230709,20195968.848081,银行,北京,6.31,319.05,489.35,586479616.0,0.0,2164600.0,5897700.0,1.21,0.72,7.95,0.8,20070427.0,17631600.0,3.6,5.27,5.93,0.0,30.32,173469.0
601997 ,贵阳银行,-0.375,13.3,13.33,13.45,13.26,13.35,22233973.0,1.7945600000000002,296569567.0,6.751,1.088,3057127.227,1647823.57635,银行,贵州,6.14,12.39,22.99,49196012.0,0.0,240993.41,486194.91,2.12,1.624,12.98,1.02,20160816.0,1367336.13,5.95,1.66,17.14,0.0,40.92,77812.0
601996 ,丰林集团,-1.096,3.61,3.66,3.66,3.6,3.65,16034957.0,1.69685,58134604.0,27.769,1.601,413827.5848,341139.224,林业,广西,28.22,9.45,11.46,361520.16,206893.38,111814.63,74629.06,0.65,0.12,2.26,1.6,20110929.0,63196.16,0.55,13.44,-10.93,22.69,10.09,29390.0
601992 ,金隅集团,0.946,4.27,4.23,4.34,4.22,4.23,106356674.0,1.27615,454429171.0,15.815,1.064,4559408.274218,3558685.578728,水泥,北京,11.02,83.34,106.78,26355122.0,16329150.0,4514852.5,537440.5,0.5,0.29100000000000004,4.01,1.06,20110301.0,2487691.25,2.33,21.55,19.15,27.87,5.54,192454.0
601991 ,大唐发电,0.287,3.49,3.47,3.52,3.45,3.48,20490219.0,0.20502,71549204.0,27.138,1.363,6458841.965896,3488031.64,火力发电,北京,27.5,99.94,185.07,28384948.0,3437470.5,18164654.0,1019074.88,0.55,0.1,2.56,1.36,20061220.0,507264.09,0.27,12.37,14.69,15.79,2.55,201502.0
601990 ,南京证券,0.343,14.62,14.57,15.3,14.25,14.57,65822828.0,23.93383,972674104.0,86.0,3.8040000000000003,4019066.513386,402079.24,证券,江苏,133.36,2.75,27.49,2341661.5,0.0,95003.9,475038.19,1.73,0.09,3.84,3.8,20180613.0,147124.27,0.54,0.0,0.0,0.0,24.99,78898.0
601989 ,中国重工,0.376,5.34,5.34,5.42,5.32,5.32,154720611.0,0.8426300000000001,830510749.0,118.667,1.44,12217809.591762,9805129.145244,船舶,北京,64.76,183.62,228.8,20678668.0,14929515.0,3188343.75,4516226.5,1.97,0.062,3.71,1.44,20091216.0,1515534.5,0.66,15.35,28.03,10.35,4.74,791540.0
601988 ,中国银行,0.0,3.79,3.8,3.82,3.79,3.79,171372357.0,0.08131000000000001,652278181.0,6.768,0.755,111572972.88034,79880130.126634,银行,北京,5.46,2107.66,2943.88,2092566144.0,0.0,21817300.0,14212600.0,0.48,0.5,5.02,0.75,20060705.0,69870000.0,2.37,3.32,5.34,0.0,40.75,745892.0
601985 ,中国核电,0.482,6.25,6.23,6.3,6.18,6.22,80682313.0,0.51834,502985723.0,21.626,2.134,9728393.75,9728393.75,新型电力,北京,19.2,155.65,155.65,31959616.0,3902097.25,17275314.0,1273703.5,0.82,0.244,2.93,2.13,20150610.0,1469130.25,0.94,10.41,-7.69,44.04,13.5,471857.0
601975 ,ST长油,2.614,3.14,3.09,3.17,3.03,3.06,109782183.0,5.78242,337996494.0,43.794,4.189,1577347.607536,596145.314498,水运,江苏,43.78,18.99,50.23,792715.13,128091.38,655124.31,405298.72,0.81,0.07200000000000001,0.75,4.19,20190108.0,-564258.13,-1.12,-9.41,-12.24,19.12,10.66,129800.0
